name,lat,lon,timezone
TSBN,5.37959,116.15252,Singapore Standard Time
TTOJ,1.519791,110.380897,Singapore Standard Time
UKMA,1.596621,110.341191,Singapore Standard Time
UMSL,5.280018,115.175497,Singapore Standard Time
UMWI,5.99201,116.12159,Singapore Standard Time
UMWM,1.548832,110.369405,Singapore Standard Time
UNIC,1.473428,110.41392,Singapore Standard Time
UNIK,1.462083,110.427416,Singapore Standard Time
UNIQ,1.464953,110.418043,Singapore Standard Time
UNSA,1.460012,110.414125,Singapore Standard Time
UTMK,1.445299,110.443293,Singapore Standard Time
VOKK,5.2866,115.25116,Singapore Standard Time
VWHT,5.94021,116.05723,Singapore Standard Time
WIMI,5.97683,116.100445,Singapore Standard Time
WLEV,5.95541,116.09434,Singapore Standard Time
WMOC,5.2792,115.2408,Singapore Standard Time
WOKO,6.361111,116.4528,Singapore Standard Time
WOLO,5.2997,115.2411,Singapore Standard Time
WSAB,5.985931,116.075703,Singapore Standard Time
KABO_B,4.441696,118.6121,Singapore Standard Time
BATG_B,6.124258,116.13448,Singapore Standard Time
MATH_B,5.86691,118.0737,Singapore Standard Time
WALR_C,5.835788,118.0609,Singapore Standard Time
BBTR_B,5.975755,116.135383,Singapore Standard Time
INAN,5.98487,116.13112,Singapore Standard Time
BOGW,5.53503,115.848789,Singapore Standard Time
KGKO,5.92201,116.13351,Singapore Standard Time
TKIN,5.828076,116.04932,Singapore Standard Time
TOMB,5.855202,116.06638,Singapore Standard Time
MORS,4.354694,113.98844,Singapore Standard Time
FRTN,2.292501,111.835533,Singapore Standard Time
NAGK,2.31635,111.83049,Singapore Standard Time
KRPM,4.416358,113.99803,Singapore Standard Time
SBRS,4.419888,114.01894,Singapore Standard Time
SERW,4.40528,114.00129,Singapore Standard Time
KNTA,5.71885,115.9677,Singapore Standard Time
SAJA,5.90123,116.078378,Singapore Standard Time
KKTU,5.872193,116.060263,Singapore Standard Time
RIAM,4.345972,113.99667,Singapore Standard Time
PDDA,2.2956,111.83969,Singapore Standard Time
KMNB,3.151481,113.100301,Singapore Standard Time
AIRB,3.121447,113.027218,Singapore Standard Time
LNGS,2.285245,111.833234,Singapore Standard Time
KPBH,5.893175,116.09174,Singapore Standard Time
DHON,2.30229,111.863373,Singapore Standard Time
FOSA,5.348594,115.728759,Singapore Standard Time
LIAK,5.867491,116.105397,Singapore Standard Time
PHLW,2.306413,111.849378,Singapore Standard Time
PDWN,5.70113,115.98817,Singapore Standard Time
TOME,5.88477,116.054465,Singapore Standard Time
HARN,2.29503,111.82283,Singapore Standard Time
OYSI,2.293975,111.931564,Singapore Standard Time
SHDA,3.169909,113.04335,Singapore Standard Time
SBHO,2.298702,111.894214,Singapore Standard Time
OSMN,2.29299,111.826551,Singapore Standard Time
KEES,3.173046,113.039353,Singapore Standard Time
PCHD,5.804296,116.012184,Singapore Standard Time
NBUK,3.172318,113.054322,Singapore Standard Time
CHNL,3.174112,113.048112,Singapore Standard Time
KPYN,5.926654,116.056231,Singapore Standard Time
TRUN,5.7261,115.91584,Singapore Standard Time
MILE,5.91894,116.058084,Singapore Standard Time
YAKN,4.41496,114.00568,Singapore Standard Time
PIJA,4.426833,114.00525,Singapore Standard Time
LUGU,5.739441,115.92088,Singapore Standard Time
BKTJ,5.820443,116.04504,Singapore Standard Time
MANS,5.741455,115.90604,Singapore Standard Time
KAWI,5.840903,116.04741,Singapore Standard Time
JMSA,2.29799,111.82966,Singapore Standard Time
PREM,2.28908,111.83036,Singapore Standard Time
MURA,4.430318,114.019147,Singapore Standard Time
VLNC,4.422527,114.00967,Singapore Standard Time
PKMS,5.630186,115.899908,Singapore Standard Time
WLUT,5.345616,115.7458,Singapore Standard Time
FEDL,3.18744,113.05312,Singapore Standard Time
